MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"Jun 11, 2023 - WAS @ SEA",2023,06/11/2023,WAS,SEA,Away,W,30,19,5,9,55.6,4,6,66.7,5,5,100,0,4,4,5,0,0,4,5,0
"Jun 13, 2023 - WAS @ IND",2023,06/13/2023,WAS,IND,Away,L,24,7,1,5,20,0,0,0,5,6,83.3,0,5,5,5,1,0,2,0,-4
"Jun 18, 2023 - WAS vs. CHI",2023,06/18/2023,WAS,CHI,Home,W,32,2,1,2,50,0,0,0,0,0,0,0,3,3,5,1,0,1,2,0
"Jun 22, 2023 - WAS @ CHI",2023,06/22/2023,WAS,CHI,Away,W,30,16,6,12,50,1,5,20,3,3,100,0,3,3,3,1,0,2,3,17
"Jun 25, 2023 - WAS @ NYL",2023,06/25/2023,WAS,NYL,Away,L,38,23,6,12,50,1,5,20,10,11,90.9,0,6,6,11,2,0,1,1,2
"Jun 28, 2023 - WAS vs. ATL",2023,06/28/2023,WAS,ATL,Home,W,30,8,3,8,37.5,2,3,66.7,0,0,0,0,4,4,7,1,0,2,2,12
"Jun 30, 2023 - WAS @ ATL",2023,06/30/2023,WAS,ATL,Away,L,36,15,4,12,33.3,0,4,0,7,9,77.8,0,3,3,6,1,1,5,1,-11
"Jul 02, 2023 - WAS @ DAL",2023,07/02/2023,WAS,DAL,Away,L,30,7,3,11,27.3,0,4,0,1,1,100,0,3,3,6,0,0,3,4,-7
"Jul 11, 2023 - WAS vs. SEA",2023,07/11/2023,WAS,SEA,Home,W,28,9,2,6,33.3,1,3,33.3,4,4,100,0,2,2,8,1,0,5,2,6
"Jul 19, 2023 - WAS vs. IND",2023,07/19/2023,WAS,IND,Home,L,34,19,7,18,38.9,2,8,25,3,3,100,0,5,5,5,3,1,1,1,-4
"Jul 21, 2023 - WAS vs. NYL",2023,07/21/2023,WAS,NYL,Home,L,38,17,6,17,35.3,1,4,25,4,4,100,0,4,4,5,2,0,3,3,-8
"Jul 23, 2023 - WAS vs. PHO",2023,07/23/2023,WAS,PHO,Home,W,32,23,7,11,63.6,2,5,40,7,8,87.5,0,4,4,9,3,2,2,1,22
"Jul 26, 2023 - WAS @ MIN",2023,07/26/2023,WAS,MIN,Away,L,36,24,10,21,47.6,3,7,42.9,1,1,100,0,0,0,6,1,0,2,3,-5
"Jul 28, 2023 - WAS @ DAL",2023,07/28/2023,WAS,DAL,Away,L,30,11,3,13,23.1,0,4,0,5,5,100,0,4,4,3,2,0,4,3,-20
"Jul 30, 2023 - WAS @ ATL",2023,07/30/2023,WAS,ATL,Away,L,31,7,2,11,18.2,1,3,33.3,2,2,100,0,4,4,4,2,0,2,4,-7
"Aug 04, 2023 - WAS vs. LAS",2023,08/04/2023,WAS,LAS,Home,W,32,10,3,9,33.3,0,1,0,4,4,100,0,1,1,6,2,0,3,3,-3
"Aug 06, 2023 - WAS vs. LAS",2023,08/06/2023,WAS,LAS,Home,L,35,13,6,12,50,0,1,0,1,1,100,1,5,6,7,3,0,5,4,-3
"Aug 08, 2023 - WAS @ PHO",2023,08/08/2023,WAS,PHO,Away,L,32,7,3,11,27.3,0,4,0,1,1,100,0,4,4,4,1,0,2,2,-17
"Aug 11, 2023 - WAS @ LVA",2023,08/11/2023,WAS,LVA,Away,L,34,21,7,17,41.2,4,9,44.4,3,3,100,0,4,4,6,0,0,2,1,-20
"Aug 13, 2023 - WAS vs. CHI",2023,08/13/2023,WAS,CHI,Home,W,34,4,0,9,0,0,4,0,4,4,100,0,6,6,6,2,0,4,5,7
"Aug 18, 2023 - WAS @ IND",2023,08/18/2023,WAS,IND,Away,W,33,16,4,10,40,2,5,40,6,8,75,0,5,5,3,1,1,0,0,5
"Aug 20, 2023 - WAS vs. DAL",2023,08/20/2023,WAS,DAL,Home,L,29,22,7,17,41.2,4,9,44.4,4,5,80,0,1,1,3,1,0,4,6,-16
"Aug 22, 2023 - WAS vs. CON",2023,08/22/2023,WAS,CON,Home,L,34,19,6,12,50,2,4,50,5,5,100,1,3,4,5,1,0,2,4,-7
"Aug 26, 2023 - WAS vs. LVA",2023,08/26/2023,WAS,LVA,Home,W,34,7,3,11,27.3,1,6,16.7,0,0,0,1,4,5,9,0,0,1,2,16
"Aug 29, 2023 - WAS vs. MIN",2023,08/29/2023,WAS,MIN,Home,W,30,12,2,13,15.4,2,7,28.6,6,8,75,2,3,5,9,0,0,3,5,18
"Aug 31, 2023 - WAS @ LVA",2023,08/31/2023,WAS,LVA,Away,L,32,12,5,14,35.7,0,4,0,2,2,100,0,1,1,5,0,0,3,2,-11
"Sep 03, 2023 - WAS @ LAS",2023,09/03/2023,WAS,LAS,Away,L,40,7,2,5,40,1,1,100,2,3,66.7,0,6,6,5,0,0,3,4,-8
"Sep 05, 2023 - WAS @ PHO",2023,09/05/2023,WAS,PHO,Away,W,33,20,6,8,75,3,4,75,5,5,100,0,5,5,10,0,0,3,2,21
"Sep 08, 2023 - WAS vs. ATL",2023,09/08/2023,WAS,ATL,Home,L,35,7,1,5,20,1,2,50,4,4,100,1,4,5,15,0,1,2,2,9
"Sep 10, 2023 - WAS @ NYL",2023,09/10/2023,WAS,NYL,Away,W,30,17,6,10,60,2,4,50,3,3,100,0,6,6,5,0,1,2,3,-2
"May 14, 2024 - PHO @ LVA",2024,05/14/2024,PHO,LVA,Away,L,34,14,5,15,33.3,1,6,16.7,3,3,100,1,7,8,7,1,0,4,1,-11
"May 18, 2024 - PHO vs. ATL",2024,05/18/2024,PHO,ATL,Home,W,31,7,2,6,33.3,0,0,0,3,4,75,1,1,2,5,2,1,1,5,2
"May 21, 2024 - PHO @ LVA",2024,05/21/2024,PHO,LVA,Away,W,30,11,4,10,40,1,2,50,2,3,66.7,0,7,7,10,1,1,2,2,13
"May 23, 2024 - PHO vs. WAS",2024,05/23/2024,PHO,WAS,Home,W,36,14,3,6,50,0,2,0,8,10,80,1,4,5,10,3,0,8,4,5
"May 25, 2024 - PHO vs. DAL",2024,05/25/2024,PHO,DAL,Home,L,36,9,3,10,30,0,5,0,3,3,100,2,2,4,12,3,0,4,3,-3
"May 28, 2024 - PHO @ CON",2024,05/28/2024,PHO,CON,Away,L,28,9,3,8,37.5,0,3,0,3,4,75,1,3,4,3,2,1,6,2,-20
"May 29, 2024 - PHO @ NYL",2024,05/29/2024,PHO,NYL,Away,L,35,21,9,17,52.9,3,7,42.9,0,1,0,0,2,2,3,1,1,2,4,-6
"May 31, 2024 - PHO @ MIN",2024,05/31/2024,PHO,MIN,Away,L,30,5,2,7,28.6,0,2,0,1,2,50,1,5,6,7,0,0,4,3,-15
"Jun 02, 2024 - PHO vs. LAS",2024,06/02/2024,PHO,LAS,Home,W,35,21,7,16,43.8,3,5,60,4,7,57.1,0,3,3,12,2,2,2,2,22
"Jun 04, 2024 - PHO @ SEA",2024,06/04/2024,PHO,SEA,Away,L,37,10,4,13,30.8,0,3,0,2,2,100,0,6,6,5,4,1,5,3,-14
"Jun 07, 2024 - PHO vs. MIN",2024,06/07/2024,PHO,MIN,Home,W,34,8,2,6,33.3,1,2,50,3,4,75,0,6,6,10,0,1,3,4,3
"Jun 09, 2024 - PHO @ DAL",2024,06/09/2024,PHO,DAL,Away,W,44,7,2,6,33.3,1,2,50,2,2,100,0,4,4,7,3,0,6,4,-2
"Jun 13, 2024 - PHO vs. LVA",2024,06/13/2024,PHO,LVA,Home,L,35,8,4,9,44.4,0,3,0,0,0,0,2,1,3,6,1,1,1,2,4
"Jun 16, 2024 - PHO vs. SEA",2024,06/16/2024,PHO,SEA,Home,W,31,3,0,3,0,0,1,0,3,4,75,0,5,5,8,0,0,2,6,6
"Jun 18, 2024 - PHO vs. NYL",2024,06/18/2024,PHO,NYL,Home,W,33,11,5,10,50,1,3,33.3,0,0,0,1,3,4,4,1,0,5,2,-3
"Jun 22, 2024 - PHO @ MIN",2024,06/22/2024,PHO,MIN,Away,L,34,14,6,15,40,1,6,16.7,1,1,100,0,2,2,5,1,2,2,1,-12
"Jun 28, 2024 - PHO vs. LAS",2024,06/28/2024,PHO,LAS,Home,W,33,14,5,8,62.5,0,0,0,4,5,80,0,2,2,7,2,0,3,3,14
"Jun 30, 2024 - PHO vs. IND",2024,06/30/2024,PHO,IND,Home,L,33,15,5,12,41.7,2,4,50,3,4,75,0,5,5,7,4,0,0,4,-3
"Jul 01, 2024 - PHO vs. CON",2024,07/01/2024,PHO,CON,Home,L,37,18,5,12,41.7,1,5,20,7,7,100,0,4,4,10,2,0,4,4,-7
"Jul 03, 2024 - PHO @ DAL",2024,07/03/2024,PHO,DAL,Away,W,30,11,3,7,42.9,1,3,33.3,4,5,80,0,2,2,10,2,0,1,4,16
"Jul 07, 2024 - PHO @ LAS",2024,07/07/2024,PHO,LAS,Away,W,37,31,10,16,62.5,4,6,66.7,7,7,100,1,8,9,5,2,2,6,3,10
"Jul 10, 2024 - PHO vs. DAL",2024,07/10/2024,PHO,DAL,Home,W,35,14,4,7,57.1,2,5,40,4,4,100,0,3,3,6,1,0,6,2,6
"Jul 14, 2024 - PHO @ CON",2024,07/14/2024,PHO,CON,Away,L,31,10,4,10,40,1,5,20,1,2,50,0,0,0,6,1,3,2,4,-17
"Jul 16, 2024 - PHO @ WAS",2024,07/16/2024,PHO,WAS,Away,W,36,12,5,10,50,1,1,100,1,2,50,2,7,9,10,2,2,1,2,5
"Aug 15, 2024 - PHO @ CHI",2024,08/15/2024,PHO,CHI,Away,W,30,3,1,7,14.3,1,4,25,0,0,0,0,2,2,6,1,0,2,5,18
"Aug 16, 2024 - PHO @ IND",2024,08/16/2024,PHO,IND,Away,L,38,19,7,13,53.8,5,8,62.5,0,0,0,0,2,2,3,3,0,3,1,-9
"Aug 18, 2024 - PHO vs. CHI",2024,08/18/2024,PHO,CHI,Home,W,30,6,2,7,28.6,0,3,0,2,2,100,0,4,4,4,0,2,3,2,16
"Aug 21, 2024 - PHO @ ATL",2024,08/21/2024,PHO,ATL,Away,L,38,6,2,8,25,1,3,33.3,1,1,100,0,8,8,2,1,0,2,1,-12
"Aug 23, 2024 - PHO @ ATL",2024,08/23/2024,PHO,ATL,Away,W,30,4,2,9,22.2,0,2,0,0,0,0,0,5,5,7,1,0,4,4,-3
"Aug 26, 2024 - PHO vs. NYL",2024,08/26/2024,PHO,NYL,Home,L,35,18,7,13,53.8,4,6,66.7,0,0,0,2,4,6,7,1,0,6,1,-18
"Aug 28, 2024 - PHO vs. MIN",2024,08/28/2024,PHO,MIN,Home,L,36,12,5,16,31.3,2,5,40,0,0,0,1,2,3,8,0,2,3,1,-13
"Sep 01, 2024 - PHO vs. LVA",2024,09/01/2024,PHO,LVA,Home,L,38,5,2,12,16.7,1,5,20,0,0,0,1,1,2,6,0,0,2,1,-18
"Sep 05, 2024 - PHO vs. WAS",2024,09/05/2024,PHO,WAS,Home,L,28,13,3,10,30,2,6,33.3,5,5,100,0,1,1,5,0,0,3,1,-10
"Sep 07, 2024 - PHO @ SEA",2024,09/07/2024,PHO,SEA,Away,L,28,3,1,4,25,1,3,33.3,0,0,0,0,3,3,6,1,0,1,1,-22
"Sep 13, 2024 - PHO vs. CON",2024,09/13/2024,PHO,CON,Home,L,35,17,7,18,38.9,1,8,12.5,2,2,100,0,4,4,7,1,1,2,4,-19
"Sep 15, 2024 - PHO @ CHI",2024,09/15/2024,PHO,CHI,Away,W,36,18,6,10,60,2,4,50,4,6,66.7,0,4,4,11,1,0,2,1,13
"Sep 17, 2024 - PHO @ LAS",2024,09/17/2024,PHO,LAS,Away,W,34,13,4,12,33.3,0,3,0,5,5,100,1,1,2,12,2,0,1,4,9
"Sep 19, 2024 - PHO vs. SEA",2024,09/19/2024,PHO,SEA,Home,L,20,4,1,5,20,0,2,0,2,2,100,0,3,3,4,1,0,1,1,-11
"May 17, 2025 - NYL vs. LVA",2025,05/17/2025,NYL,LVA,Home,W,33,22,8,17,47.1,1,4,25,5,6,83.3,0,6,6,9,3,2,2,4,9
"May 22, 2025 - NYL @ CHI",2025,05/22/2025,NYL,CHI,Away,W,27,18,6,10,60,4,5,80,2,2,100,0,4,4,8,0,0,2,3,27
"May 24, 2025 - NYL @ IND",2025,05/24/2025,NYL,IND,Away,W,35,16,6,9,66.7,2,5,40,2,2,100,1,6,7,6,5,2,3,3,13
"May 27, 2025 - NYL vs. GSV",2025,05/27/2025,NYL,GSV,Home,W,25,5,2,9,22.2,1,6,16.7,0,0,0,0,3,3,10,1,0,2,3,20
"May 29, 2025 - NYL vs. GSV",2025,05/29/2025,NYL,GSV,Home,W,30,7,2,8,25,1,7,14.3,2,2,100,0,5,5,5,2,1,1,4,14
"May 30, 2025 - NYL @ WAS",2025,05/30/2025,NYL,WAS,Away,W,22,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,0,1,2,13
"Jun 01, 2025 - NYL vs. CON",2025,06/01/2025,NYL,CON,Home,W,21,8,3,3,100,2,2,100,0,0,0,0,2,2,7,1,0,1,1,44
"Jun 05, 2025 - NYL @ WAS",2025,06/05/2025,NYL,WAS,Away,W,30,4,1,4,25,0,2,0,2,2,100,0,2,2,5,3,0,4,5,10
"Jun 10, 2025 - NYL vs. CHI",2025,06/10/2025,NYL,CHI,Home,W,19,5,2,8,25,1,5,20,0,0,0,1,2,3,3,2,1,2,3,14
"Jun 14, 2025 - NYL @ IND",2025,06/14/2025,NYL,IND,Away,L,31,5,1,8,12.5,0,4,0,3,4,75,1,5,6,5,1,0,2,4,-19
"Jun 17, 2025 - NYL vs. ATL",2025,06/17/2025,NYL,ATL,Home,W,29,7,2,7,28.6,0,1,0,3,3,100,0,1,1,5,1,0,1,3,-4
"Jun 19, 2025 - NYL vs. PHX",2025,06/19/2025,NYL,PHX,Home,L,33,8,3,8,37.5,2,5,40,0,0,0,1,2,3,10,0,0,0,5,-2
"Jun 22, 2025 - NYL @ SEA",2025,06/22/2025,NYL,SEA,Away,L,34,5,2,7,28.6,1,4,25,0,0,0,2,3,5,8,2,0,6,1,-16
"Jun 25, 2025 - NYL @ GSV",2025,06/25/2025,NYL,GSV,Away,W,27,2,1,8,12.5,0,6,0,0,0,0,0,3,3,7,1,0,3,4,-7
"Jun 27, 2025 - NYL @ PHX",2025,06/27/2025,NYL,PHX,Away,L,30,14,5,11,45.5,0,1,0,4,4,100,1,3,4,7,1,0,1,2,-16
"Jun 29, 2025 - NYL @ ATL",2025,06/29/2025,NYL,ATL,Away,L,34,20,8,12,66.7,2,3,66.7,2,2,100,0,4,4,6,1,0,2,2,-8
"Jul 03, 2025 - NYL vs. LAS",2025,07/03/2025,NYL,LAS,Home,W,33,23,7,12,58.3,3,6,50,6,6,100,1,3,4,7,1,0,2,4,18
"Jul 06, 2025 - NYL vs. SEA",2025,07/06/2025,NYL,SEA,Home,L,22,12,4,8,50,2,3,66.7,2,2,100,0,3,3,1,0,0,0,3,-13
"Jul 13, 2025 - NYL vs. ATL",2025,07/13/2025,NYL,ATL,Home,W,27,2,1,5,20,0,2,0,0,0,0,0,1,1,4,2,0,1,2,-1
"Jul 16, 2025 - NYL vs. IND",2025,07/16/2025,NYL,IND,Home,W,26,14,6,11,54.5,2,5,40,0,0,0,0,5,5,3,0,0,1,2,28
"Jul 22, 2025 - NYL vs. IND",2025,07/22/2025,NYL,IND,Home,W,26,10,3,5,60,2,2,100,2,2,100,0,3,3,4,2,0,3,4,2
"Jul 25, 2025 - NYL vs. PHX",2025,07/25/2025,NYL,PHX,Home,W,29,10,2,7,28.6,1,4,25,5,6,83.3,0,4,4,3,1,1,1,4,20
"Jul 26, 2025 - NYL vs. LAS",2025,07/26/2025,NYL,LAS,Home,L,34,22,8,15,53.3,3,7,42.9,3,3,100,0,3,3,9,1,2,1,3,-5
"Jul 28, 2025 - NYL @ DAL",2025,07/28/2025,NYL,DAL,Away,L,33,4,2,6,33.3,0,2,0,0,0,0,0,3,3,8,1,0,0,5,3
"Jul 30, 2025 - NYL @ MIN",2025,07/30/2025,NYL,MIN,Away,L,32,12,4,10,40,1,2,50,3,4,75,1,3,4,7,2,0,0,2,-1
"Aug 01, 2025 - NYL @ CON",2025,08/01/2025,NYL,CON,Away,L,31,7,3,8,37.5,1,3,33.3,0,0,0,1,1,2,3,2,0,2,4,-11
"Aug 03, 2025 - NYL @ CON",2025,08/03/2025,NYL,CON,Away,W,30,3,1,7,14.3,1,3,33.3,0,0,0,0,5,5,4,0,0,4,4,7
"Aug 05, 2025 - NYL vs. DAL",2025,08/05/2025,NYL,DAL,Home,W,31,12,5,9,55.6,1,2,50,1,2,50,0,4,4,6,0,0,4,1,4
"Aug 08, 2025 - NYL @ DAL",2025,08/08/2025,NYL,DAL,Away,W,30,10,4,7,57.1,2,4,50,0,0,0,0,3,3,3,1,0,0,5,8
"Aug 10, 2025 - NYL vs. MIN",2025,08/10/2025,NYL,MIN,Home,L,30,14,6,11,54.5,2,6,33.3,0,0,0,0,6,6,5,0,0,2,1,2
"Aug 12, 2025 - NYL @ LAS",2025,08/12/2025,NYL,LAS,Away,W,32,11,5,10,50,1,2,50,0,0,0,0,2,2,2,2,0,1,3,-4
"Aug 13, 2025 - NYL @ LVA",2025,08/13/2025,NYL,LVA,Away,L,32,6,3,9,33.3,0,3,0,0,0,0,1,4,5,4,0,1,2,1,-1
"Aug 16, 2025 - NYL @ MIN",2025,08/16/2025,NYL,MIN,Away,L,28,10,4,8,50,0,2,0,2,2,100,0,4,4,6,1,0,1,5,-4
"Aug 19, 2025 - NYL vs. MIN",2025,08/19/2025,NYL,MIN,Home,W,27,10,4,9,44.4,2,5,40,0,2,0,0,5,5,2,2,0,2,2,8
"Aug 21, 2025 - NYL vs. CHI",2025,08/21/2025,NYL,CHI,Home,L,27,14,5,13,38.5,2,7,28.6,2,3,66.7,1,3,4,5,2,0,2,5,-5
"Aug 23, 2025 - NYL @ ATL",2025,08/23/2025,NYL,ATL,Away,L,25,7,2,6,33.3,0,2,0,3,4,75,0,3,3,1,2,1,3,1,-19
"Aug 30, 2025 - NYL @ PHX",2025,08/30/2025,NYL,PHX,Away,L,31,13,5,10,50,3,6,50,0,0,0,1,3,4,4,0,0,2,1,-14
"Sep 02, 2025 - NYL @ GSV",2025,09/02/2025,NYL,GSV,Away,L,36,19,6,13,46.2,3,7,42.9,4,4,100,1,4,5,4,2,0,3,3,-12
"Sep 05, 2025 - NYL @ SEA",2025,09/05/2025,NYL,SEA,Away,W,31,10,4,6,66.7,2,4,50,0,0,0,0,7,7,6,0,3,2,2,0
"Sep 09, 2025 - NYL vs. WAS",2025,09/09/2025,NYL,WAS,Home,W,30,11,4,9,44.4,1,3,33.3,2,2,100,0,1,1,5,0,0,3,3,16
"Sep 11, 2025 - NYL @ CHI",2025,09/11/2025,NYL,CHI,Away,W,19,2,1,5,20,0,2,0,0,0,0,0,1,1,1,1,0,2,0,9